komentar,timestamp,sentiment
"Prabowo itu mending di jatuhkan sih jabatan nya jadi presiden, firasat gua Indonesia akan jadi negara paling miskin sih kek nya,presiden ngak ada guna",2025-03-18 12:43:07+00:00,negatif
inimah buat ngenakin si ibu negara t**dy biar kekuasaan nya bisa meluas di sektor² tertentu,2025-03-18 12:41:57+00:00,negatif
@kontsigmatol akan kah ada tni yang memiliki jabatan di kepemimpinan sipil kembali,2025-03-18 12:36:42+00:00,negatif
Kalo dpr masalah gini cepet nanggep nya ya. Heran masih ada yang milih,2025-03-18 12:35:09+00:00,negatif
mending kabur ke luar negeri😹,2025-03-18 12:31:35+00:00,negatif
lama lama jadi korut njay🗿,2025-03-18 12:15:30+00:00,negatif
"buset kalo gitu koruptor pada ugal""an pasti",2025-03-18 12:09:34+00:00,negatif
kaya drakor youth of may ga si???,2025-03-18 12:09:09+00:00,negatif
JANGAN DI JELASIN PERCUMA 58% GA BAKAL NGERTI DIA TAUNYA OKE GAS OKE GAS,2025-03-18 12:08:10+00:00,netral
KAMIS MAU D SAHKAN GUYS,2025-03-18 12:07:57+00:00,positif
udah lama lama indo juga jadi kaya korut,2025-03-18 12:07:04+00:00,negatif
Lebih percaya Prabowo kalo 2030 Indonesia bubar,2025-03-18 12:06:52+00:00,negatif
"buat point 3. trus gunanya pak gibran bikin layanan"" lapor mas wapres"" buat apaan?",2025-03-18 12:06:10+00:00,negatif
uu perampasan aset macet tp ruu tni dikebut gtu sampe rapat diem2 keren sih👏🏻,2025-03-18 12:05:39+00:00,negatif
bukannya waktu pilpres udah pada tau ya Prabowo menantunya Soeharto. ini adalah kebangkitan orde baru. dulukan yg milih prabowo kalian sendiri,2025-03-18 12:05:28+00:00,negatif
"Serius nih nanya, buat kalian yg nolak revisi UU TNI, kalian ga setujunya di bagian mana? Revisi pasal berapa? Alasannya apa? Saya duga kalian ini nolak hanya karena fomo atau ketakutan sendiri dwifungsi kembali, tapi sebenernya ga ngerti poin revisinya",2025-03-18 11:59:55+00:00,negatif
"ruu perampasan aset cuman angin belaka, fungsi DPR membuat peraturan yang melemahkan undang undang, suarakan bersatu mengepung kantor DPR dan tangkap ketua DPR",2025-03-18 10:20:21+00:00,negatif
Nda bisa sama order sama sekarang bos,2025-03-18 10:10:45+00:00,negatif
"bang kenapa kok keberhasilan tu selalu warna hijau,dan kegagalan tu selalu warna merah,padahal banyak tu warna lainnya",2025-03-18 09:56:44+00:00,negatif
zerr zerr,2025-03-18 09:56:24+00:00,negatif
demo DPR,2025-03-18 09:55:57+00:00,netral
TNI Anjg,2025-03-18 09:53:05+00:00,netral
anying ni negara ganti presiden berapa kali pun ga bener2,2025-03-18 09:51:51+00:00,negatif
bang ada berita TNI tembak polisi,2025-03-18 09:48:22+00:00,negatif
sepertinya aroma 98 mulai tercium nih👏,2025-03-18 09:47:28+00:00,negatif
Nusantara baru Indonesian hancur,2025-03-18 09:45:00+00:00,negatif
@Lil el,2025-03-18 09:44:18+00:00,positif
Banyak sekali yg rusak di negara konoha ini 😭🙏🏻,2025-03-18 09:36:23+00:00,negatif
"RUU TNI dia gas kan
RUU perampasan aset dia tak mau",2025-03-18 09:34:56+00:00,negatif
indonesia Milik Mulyono & Wowo Family,2025-03-18 09:32:37+00:00,positif
"pinter juga tuh DPR, ngebut RUU TNI biar makin KEBAL hukum dan ANTI kritik 😹",2025-03-18 09:27:53+00:00,negatif
rakyat bisa apa ini coeg coeg😹😹😹,2025-03-18 09:21:46+00:00,positif
isinya emng apa nih? Betul kh korup nnti bkal ga keungkap? lantas yg ditangkapin smpe hari ini itu apa? pngalihan isu?,2025-03-18 09:20:56+00:00,negatif
Petrus doank gw yg setuju diaktifkan,2025-03-18 09:19:39+00:00,positif
Kaya uda males aja denger berita di indo ni capekkkk cokkk capekkkkkk,2025-03-18 09:12:46+00:00,negatif
pusing liat negara indonesia ini muak sekali liatnya yg korupsi belum ditindak sekarang muncul lagi tilang aset rakyat hadeh mending bubarin negara in,2025-03-18 09:11:54+00:00,negatif
bahas RUU polri juga bg,2025-03-18 09:04:20+00:00,positif
gakpapa biarin aja biar masyarakat kita yg sok tau ini ngerasain gimana TNI yg sebenarnya nanti klau udah terjadi jangan nyesal krna emang penyesalan itu belakangan,2025-03-18 08:55:40+00:00,negatif
bahas masalah perampasan aset rakyat bg,2025-03-18 08:54:31+00:00,negatif
Bang bahas tentang uu tentang pajak off 2x kendaraan langsung disita🙏,2025-03-18 08:48:55+00:00,negatif
@𝕶𝖎𝖑𝖘𝖍𝖎𝖊𝖊𝖊 ⚚ mending #kaburajadulu kalo gini mah hadeh😹,2025-03-18 08:42:47+00:00,negatif
waduh nanti ilang nih rocky gerung😂,2025-03-18 08:38:19+00:00,negatif
"sampai berjumpa kembali di pengadilan yang paling adil yang akan dihakimi oleh hakim yang paling bijaksana.
yang tidak zalim dan tak menerima suap iaitu peradilan hari kiamat Dimna Allah adalah hakim Nya. awas kalian",2025-03-18 08:36:57+00:00,positif
Kk bahas aceh dan sumatra yg ingin memerdekakan diri karna muat dg sistem dan kebijakan yg tdk jelass,2025-03-18 08:35:11+00:00,positif
"klo disahkan TNI bukan bela negara lagi, tapi bela pemerintah",2025-03-18 08:32:34+00:00,negatif
"Aku pernah kerja di daerah lingkungan TNI , no 2 bener banget mereka itu sistemnya SENIOR DAN JUNIOR😞",2025-03-18 08:32:28+00:00,positif
"Heran, Rakyat Konoha pengen PETRUS kembali, tapi menolak RUU TNI, kan lucu 😌",2025-03-18 07:08:15+00:00,negatif
udah gk sehat ni negara,2025-03-18 07:05:43+00:00,negatif
sumpah penjelasan bang gerald ini udh paling jelas dan simple tapi masa ga ngerti juga sih RUU TNI ini didebat karna apa? pada sekolah dan bisa baca ga sih?,2025-03-18 07:05:28+00:00,netral
"pasukan ijo janganlah masuk jabatan sipil,apa tak bahaya ta??",2025-03-18 07:04:26+00:00,negatif
ihmam Mahdi : Wait for me,2025-03-18 07:01:21+00:00,negatif
bahas kasu TNI jaga ayam bang,2025-03-18 07:00:07+00:00,negatif
"bang, tempo udah ga independen dan meragukan untuk dipercaya lagi",2025-03-18 06:59:22+00:00,positif
bang bahas TNI yg dorr polisi,2025-03-18 06:58:33+00:00,negatif
"ohhh pantesan sembunyi sembunyi,ternyata biar mereka aman korupsi gitu?",2025-03-18 06:53:13+00:00,negatif
demokrasi untuk negara munafik cuma ladang cuan buat orang munafik dengan embel² agama,2025-03-18 06:50:54+00:00,negatif
bang coba bahas wisata bromo yang di tanami g4nj4,2025-03-18 06:49:29+00:00,positif
DPR nya tuh,2025-03-18 06:49:18+00:00,positif
"contoh aja TNI disuruh ngurus pertamina alhasil utang meroket dan memperkaya pribadi, hayoo tebak. 🗿",2025-03-18 06:47:52+00:00,negatif
#TOLAKRUUTNI,2025-03-18 06:44:41+00:00,negatif
"DPR INGIN CEPET"" MENGESAHKAN KARENA DI DPR NYA JUGA DALANG"" KORUPSI NYA DAN JUGA UNTUK MELINDUNGI NAMA BAIK MEREKA SENDIRI KALAU MEREKA ITU KORUPSI 🤣",2025-03-18 06:41:19+00:00,negatif
 [photo],2025-03-18 06:41:08+00:00,positif
gini amat hidup di negara anjing ini,2025-03-18 06:40:56+00:00,positif
"kalau RUU TNI sah berati negara kitaa bukan negara demokrasi lgi dong, jdi negara TNI",2025-03-18 06:39:37+00:00,negatif
bg bahas taman nasional bromo,2025-03-18 06:37:40+00:00,positif
ramein tagarnya #aTOLAKRUUTNI,2025-03-18 06:35:10+00:00,negatif
ayo dong tolak bersama,2025-03-18 06:32:59+00:00,positif
Ririn pulen😋😋,2025-03-18 06:29:27+00:00,netral
bukannya di era 10 thun belakang smp sekrng kita udah di masa orde baru. mungkin aku salah jg sih perasaan doang😑,2025-03-18 06:26:41+00:00,negatif
buzzer banyak yg ngga terima penjelasan lu bang wkwkwkwk,2025-03-18 06:22:04+00:00,negatif
bayangin lagi rapat sipil yg satu bawa bedil🙏,2025-03-18 06:13:36+00:00,negatif
kayanya apa yg wowo bilg Indonesia bubar 2030 bakalan dipercepat sama dia,2025-03-18 06:07:25+00:00,negatif
TANGKAP MULYONO,2025-03-18 06:06:32+00:00,netral
mahasiswa gk gerak selesai dah,2025-03-18 06:02:47+00:00,negatif
"https://berkas.dpr.go.id/akd/dokumen/baleg-RJ-20240903-080932-3747.pdf
ini berkas naskah ruu TNI ya ges. baca aja hal 17, soalnya ad poin"" yg GK ditulis di berita""",2025-03-18 05:59:36+00:00,negatif
"contohin aja kaya negara maju kek AS
walaupun negara besar tpi militernya tidak ikut campur dalam urusan pemerintahan",2025-03-18 05:50:13+00:00,netral
😻,2025-04-10 06:34:51+00:00,positif
😔,2025-04-10 05:18:24+00:00,positif
😻,2025-04-10 05:18:24+00:00,positif
yah klo gw mah g peduli orba orbaan yng penting bukti kinerja tni di bulog udh terbukti luar biasa🥶ngeri,2025-04-07 23:43:40+00:00,negatif
😳,2025-04-07 09:05:12+00:00,positif
🥰,2025-04-07 05:28:05+00:00,positif
@billysamuelo posting ulanggg😱😱😱😱,2025-04-07 05:17:24+00:00,positif
😂,2025-04-06 15:30:21+00:00,positif
🗿,2025-04-06 09:30:16+00:00,positif
😱,2025-04-06 07:10:20+00:00,positif
😁😁😁,2025-04-05 13:50:50+00:00,positif
tolak RUU TNI kembalikan ke barak aja,2025-04-05 09:21:11+00:00,negatif
"const indonesia require (""Pernapasan Amerika"")",2025-04-04 13:31:07+00:00,negatif
katanya demokrasi 🥺,2025-04-04 09:39:19+00:00,negatif
😁,2025-04-04 08:46:38+00:00,positif
😁,2025-04-04 07:41:33+00:00,positif
😝,2025-04-04 07:32:16+00:00,positif
"rakyat yg suka malink takut di dor dor.
pejabat suka malink jd takut gk dpt tempat.",2025-04-04 04:52:30+00:00,negatif
tanpa TNI loe gak bisa hidup aman,2025-03-31 06:47:29+00:00,positif
Jaman orde baru ga ada peristiwa bom bom an. Ada petrus jd jarang ada peristiwa kriminal sesadis sekarang..,2025-03-31 00:58:10+00:00,negatif
"jika di tangan pemerintah bersih pasti ada kedamaian, rapat UUD TNI dilakukan seperti maling takut ketahuan 🙈🙈🙈",2025-03-30 14:34:27+00:00,negatif
apa sih maksud nya ruu tni.bikin saya bingung .maklum lh mak2 byk yg di pikirin..,2025-03-30 12:50:36+00:00,negatif
😭,2025-03-30 06:46:21+00:00,positif
Tentara Hama,2025-03-30 05:23:21+00:00,negatif
"males sama indo, mayoritas sampah semua pejabatnya",2025-03-30 03:57:15+00:00,netral
😂,2025-03-30 03:53:45+00:00,positif
🤗,2025-03-30 03:28:46+00:00,positif
🙏,2025-03-30 02:35:24+00:00,positif
dukung RUU TNI,2025-03-30 02:04:06+00:00,positif
"@niakurniati0741:Kalau revisi TNI bikin rakyat berdaulat sejahtera, bisa membatasi ruang gerak para Maling Duit Rakyat , WHY NOT ?
Toh faktanya era Reformasi cuma menghasilkan PARA MALING DUIT RAKYAT ratusan milyar bahkan Ribuan Trilyun di mana mana ,di pusat sampai daerah, di BUMN,Di DPR ,Kementrian , Depertemen,sampai desa, dll ...
Reformasi cuma menghasilkan PAGAR LAUT, Tanah Rakyat di Rampas,seperti Rempang , Kekayaan Alam di kuasai Asing dan Aseng,
Reformasi (tidak bisa merubah ,membasmi ) Cuma menghasilkan Mafia mafia Pengadilan,Aparat bangsat, Birokrasi dan Birokrat KORUP ...
Era Reformasi cuma menghasilkan penindas rakyat,Pengangguran di mana mana, Buruh Upahnya Murah,Status nya OutSourching,
Reformasi Demokrasi Cuma Omong Kosong, Hukum tetap saja Tumpul ke atas Tajam ke Bawah,
Reformasi cuma menghasil kan Politik Dagang Sapi, Demokrasi jadi Pesta tahunan para Bajingan memperdaya hak politik rakyat dengan cara Nyogok rakyat biar memilih mereka ,
OPEN YOURE MIND ..
saya rakyat biasa sudah menjalani +-30 Tahun era Reformasi dan kesengsaraan nya Nak...
Dan kau Anak kemarin Sore yg cuma tahu Ngonten itu dapat Duit,dan sekarang masuk lubang Reformasi itu yg cuma Omong Kosong ,menjadikan issue KKN ,Dwi Fungsi dan Militerisasi , Tapi fakta nya Rakyat tetap Miskin ,tertindas dan di Pajakin dgn tinggi, Pendidikan Mahal,
Kita peduli pada Negara ini Woiiiii, setidaknya dari tahun 1998- s/d 2025 bukan Lo sja, dan sampai saat ini Negara Masih Tidak Lebih Baik ( Kalau tidak Mau di sebut Nilainya Rendah di mata asing , Negara Korup ) ,Bastadz..
Omongan mu itu dongeng Faktanya TDK se extreme itu Tentara , Tapi A_SUdahlah..
Selamat Ngonten dan ku doa kan dapat duit banyak dan kalau dapat banyak jangan lupa bagi2 duitnya sama anak yatim
#SalamWarasDanTetapDamai",2025-03-29 23:53:33+00:00,negatif
"moots aku plss 🙋🏻‍♀️, on tiap harii 🙇🏻‍♀️‼️",2025-03-29 23:13:24+00:00,positif
sekarang waktunya untuk kita berevolusi ✊✊✊,2025-03-29 23:10:35+00:00,positif
😂,2025-03-29 22:37:38+00:00,positif
negara gila cpek bgt ama berita di indonesia dari agustus taun lalu sampek sekarang ada aja gebrakanya,2025-03-29 22:32:58+00:00,negatif
ya klou kita baik gak bkln trjadi itu yang takut itu yang korup 😁,2025-03-29 21:32:39+00:00,negatif
ko jadi menyeramkan sekali negara ini ya allah.,2025-03-29 16:34:18+00:00,positif
🗿,2025-03-29 14:59:15+00:00,positif
tim partai Sono itu om yg nolak ...maklum ngak berkuasa 🤣🤣,2025-03-28 07:50:21+00:00,negatif
😅,2025-03-28 07:32:55+00:00,positif
yg rusak negara ini pasti yg sahkan RUU... sedangkan RUU perempatan aset saja mereka tdk mau sahkan,2025-03-28 06:26:37+00:00,negatif
koar2 doang jika tni kembali kebarak tolong gantikan mereka yang ada di daerah penugasan agar para tni bubuk manis dibarak,2025-03-28 04:44:32+00:00,negatif
Konoha otak lembab kuat mkn bakso,2025-03-28 04:13:27+00:00,netral
ayo hidupin pemerintah Majapahit 🥰,2025-03-28 01:52:51+00:00,positif
😥,2025-03-28 01:26:43+00:00,positif
😁,2025-03-28 01:12:25+00:00,positif
"emak sama anak Sama, pemecah bangsa.",2025-03-28 00:34:26+00:00,positif
😂,2025-03-27 23:40:56+00:00,positif
😂,2025-03-27 22:57:44+00:00,positif
😁,2025-03-27 21:54:52+00:00,positif
😁,2025-03-27 21:38:21+00:00,positif
tolak ruu tni gak boleh itu masyarakat nomor 1 bukan pejabat,2025-03-27 21:23:16+00:00,negatif
di Bayar berapa broo 😂,2025-03-27 21:15:52+00:00,negatif
😂,2025-03-27 21:15:00+00:00,positif
maksud korupsi tetap ada tapi ga ktauan?,2025-03-27 21:00:45+00:00,negatif
puaaaaannnnnn lu bener bener ye,2025-03-27 19:16:57+00:00,netral
ni ga salah gas kan,2025-03-26 23:35:02+00:00,negatif
🔥,2025-03-26 21:49:18+00:00,positif
yg nolak itu kn anak abah dan banteng 😁😂,2025-03-26 21:26:27+00:00,negatif
"Heh anak yang katanya pinter punya intelektual tinggi, seharusnya yang didemo itu uu perampasan aset!!!bukan demo beginian #GA.RESPECT.SAMA.MAHASEWA",2025-03-26 20:23:12+00:00,negatif
@putttt,2025-03-26 20:21:16+00:00,positif
makan tuh ok gas ok gas,2025-03-26 17:05:30+00:00,netral
RUU Posisi yang harus diwaspadai.,2025-03-26 15:57:53+00:00,negatif
🥰,2025-03-26 15:23:19+00:00,positif
🔥,2025-03-26 15:19:23+00:00,positif
🥰,2025-03-26 15:03:09+00:00,positif
😁,2025-03-26 14:41:48+00:00,positif
selagi puan anj itu ketua dpr kek ini la kita,2025-03-26 00:31:48+00:00,positif
Alamak petruss🗿,2025-03-26 00:28:11+00:00,positif
😭,2025-03-26 00:22:14+00:00,positif
😂,2025-03-26 00:21:32+00:00,positif
Mahasewa=Hama,2025-03-25 23:41:36+00:00,positif
padahal itu sudah ucapan presiden Sukarno presiden pertama kita dilarangnya angkatan perang di larang ikut2 politik,2025-03-25 23:26:36+00:00,negatif
😅,2025-03-25 23:07:39+00:00,positif
"gue sbnrnya bukan hates si aniss ini ,cuma gedek aja liat pendukung nya😅😅😅 selalu mendewa dewa kan dia wkwk pdhal apa yg dilakukan aniss ini gda pengaruh ke hidup mreka 😏",2025-03-25 23:04:53+00:00,negatif
🥰,2025-03-25 22:26:29+00:00,positif
😁,2025-03-25 22:21:52+00:00,positif
"puan maharani, dan antek anteknye... ah nth la, tx bise di deskripsikan kalian, aarg...",2025-03-25 21:51:42+00:00,negatif
😂,2025-03-25 21:15:09+00:00,positif
persetan demokrasi shitttttt,2025-03-25 20:51:44+00:00,negatif
"DPR ANJJ, T4II, TLOLL",2025-03-25 20:14:51+00:00,netral
hanya menuduh ke orde baru padahal faktanya kebalikan,2025-03-25 19:53:38+00:00,netral
sekolah bewan sg2,2025-03-25 19:45:27+00:00,positif
😁,2025-03-25 19:40:23+00:00,positif
😁,2025-03-25 19:17:10+00:00,positif
🤣,2025-03-25 19:11:29+00:00,positif
masyarakat tidak boleh pintar.....akan ditindas,2025-03-25 18:39:59+00:00,negatif
😇,2025-03-25 17:34:55+00:00,positif
petrus balik kah?,2025-03-25 17:27:30+00:00,negatif
"bang perasaan yg nnnya itu ruu tni nya dah bukan orde baru
jelasin pasalnya lh bang☺️kn klo kaya gini abngnya kaya ngegiring opini (?)",2025-03-25 17:26:31+00:00,negatif
🥰,2025-03-25 13:03:13+00:00,positif
yahh ngada pilihan lagi tuh DPR biar korupsi nya gak di ganggu,2025-03-25 12:49:24+00:00,negatif
😁😁😁,2025-03-25 12:38:21+00:00,positif
😅,2025-03-25 12:36:17+00:00,positif
😌,2025-03-25 12:17:11+00:00,positif
🥰,2025-03-25 12:15:22+00:00,positif
🙄,2025-03-25 12:08:06+00:00,positif
pindah negara aja gasih,2025-03-25 12:05:16+00:00,negatif
dukung ruu tni,2025-03-25 11:59:17+00:00,positif
🥰,2025-03-25 11:59:17+00:00,positif
🥰🥰🥰,2025-03-25 11:56:37+00:00,positif
😭,2025-03-25 11:54:31+00:00,positif
😁,2025-03-25 11:24:16+00:00,positif
😁,2025-03-25 11:16:22+00:00,positif
😁,2025-03-25 11:01:26+00:00,positif
😂,2025-03-25 10:55:37+00:00,positif
yang bilang dukung dah pasti buzzer,2025-03-25 10:52:17+00:00,negatif
😁,2025-03-25 10:41:03+00:00,positif
🥰,2025-03-25 10:30:26+00:00,positif
😡😡😡,2025-03-25 10:26:02+00:00,positif
kenapa ya kalo masalah nyusahin rakyat pasti enteng bgt tu palu😹😹,2025-03-25 10:12:13+00:00,negatif
🥰,2025-03-25 10:07:15+00:00,positif
Udah dipilih malah nyesel. Dari awal kemana aja?,2025-03-25 10:05:25+00:00,negatif
😂,2025-03-25 10:03:25+00:00,positif
bubarkan DPR,2025-03-25 09:57:50+00:00,negatif
"•lulusan kiamat 2012
•lulusan covid
•kurikulum percobaan
•lulusan kiamat 2024
•un percobaan
•pertamax = pertalite
•orde baru
gini amat masa dewasa guaa🥰",2025-03-25 09:49:57+00:00,positif
😏,2025-03-25 06:03:49+00:00,positif
bukannya dihindari malah mau dicicipin lagi🗿,2025-03-25 06:00:48+00:00,negatif
kacaw banget ini negara,2025-03-25 05:51:10+00:00,negatif
coba kalian baca novel laut bercerita itu nyeritain para aktivis yang menentang orde baru,2025-03-25 05:49:25+00:00,negatif
😂,2025-03-25 05:33:17+00:00,positif
yg protes ruu TNI demo itu kaki tangan PKI gaya baru karna mereka TDK bisa meng utak ati NKRI karna TNI yg melindungi NKRI ini lanjut terus TNI pantang mundur,2025-03-25 05:29:59+00:00,negatif
😳,2025-03-25 05:29:25+00:00,positif
👍,2025-03-25 05:24:14+00:00,positif
😂,2025-03-25 05:23:58+00:00,positif
kalo Ampe mengintimidasi rakyat sih para genster haru bersatu buat bantuin,2025-03-25 05:20:26+00:00,negatif
😂,2025-03-25 05:17:35+00:00,positif
DPR kepanjangan nya dewan apaan sih kayak gk guna gitu 🤔,2025-03-25 05:17:17+00:00,negatif
😳,2025-03-25 05:12:13+00:00,positif
🥰,2025-03-25 05:10:16+00:00,positif
😁😁😁,2025-03-25 05:08:26+00:00,positif
😳,2025-03-25 05:06:13+00:00,positif
😁,2025-03-25 04:58:54+00:00,positif
😂,2025-03-25 04:53:49+00:00,positif
😂,2025-03-25 04:44:10+00:00,positif
😭,2025-03-25 04:41:59+00:00,positif
10000000000000% DUKUNG PENUH,2025-03-25 04:40:46+00:00,positif
🗿,2025-03-25 04:39:06+00:00,positif
DPR nya siapa sih ini ? kok bisa di sahkan RUU TNI,2025-03-25 04:29:30+00:00,negatif
"polisi hama
polisi kera",2025-03-25 04:28:48+00:00,netral
RUU TNI disahkan tapi UU PERAMPASAN ASET ditolak. yallah pengen ada rejeki biar bisa pindah negara,2025-03-25 04:28:38+00:00,negatif
negara rusakkkk!!!,2025-03-25 04:24:55+00:00,negatif
cucu Seokarno beban bet anj,2025-03-25 04:24:04+00:00,netral
😂,2025-03-25 04:16:52+00:00,positif
"MANTAP, LIHAT DWIFJNGSI DI JAMSN ORBA, ADEMW TDK ADA KORUOSI TRILIUNAN. AMAN ADEM, RASA2NYA KITA BELUM MZMPU DI PINPIN SIPIL.",2025-03-25 04:02:51+00:00,negatif
DPR makanannya apa sih?,2025-03-25 04:01:24+00:00,netral
"tumben, biasanya ""bukan ye haha""",2025-03-24 22:57:11+00:00,netral
prabowo manis di awal gajelas banget😹,2025-03-24 22:44:33+00:00,netral
😂,2025-03-24 22:39:44+00:00,positif
Puan P nya.........,2025-03-24 22:35:35+00:00,negatif
😂,2025-03-24 22:34:41+00:00,positif
😁,2025-03-24 22:30:01+00:00,positif
RUU TNI from Malaysia🇲🇾🇲🇾,2025-03-24 22:26:27+00:00,positif
😁,2025-03-24 22:24:33+00:00,positif
hadeh masih aja banyak yang iri dengan pa prabowo yang hebat,2025-03-24 22:24:24+00:00,negatif
kok ambil keputusan sepihak si negara ini kan punya rakyat bukan negara mereka emang negara ini punya pejabat,2025-03-24 22:23:19+00:00,negatif
makin rusak ni negara,2025-03-24 22:20:23+00:00,negatif
@stafprabowo ijin pak🙏,2025-03-24 22:19:06+00:00,positif
bang mau pindah negara gmn ya,2025-03-24 22:17:35+00:00,negatif
🔥,2025-03-24 22:17:15+00:00,positif
😂,2025-03-24 22:16:38+00:00,positif
berarti kurang lebih kayak jaman Suharto ya bang?,2025-03-24 22:11:43+00:00,negatif
😂,2025-03-24 22:09:09+00:00,positif
"denger noh yang blom ngerti, so ngebela pejabat ke di empanin aja",2025-03-24 22:07:17+00:00,negatif
😂,2025-03-24 22:06:30+00:00,positif
#TOLAKRUUTNI,2025-03-24 22:05:00+00:00,negatif
🥰,2025-03-24 22:03:20+00:00,positif
🔥🔥🔥,2025-03-24 22:03:04+00:00,positif
😒,2025-03-24 22:02:20+00:00,positif
kabur aja dulu kalo gue mah,2025-03-24 22:00:36+00:00,negatif
bahas draftnya bukan orde baruny,2025-03-24 22:00:15+00:00,netral
RUU TNI UDA GAADA BG?,2025-03-24 21:55:36+00:00,negatif
🥰,2025-03-24 21:55:22+00:00,positif
duh indonesia makin aneh² pindah aja jangan disini bikin pusing😵😵,2025-03-24 21:54:04+00:00,negatif
"@acaa ?:hah? kamu tau ga si kalo presiden ga ad hak campur tangan di dalam ruu tni? masa gatau hukum yudikarif, legistatif sm eksekutif",2025-03-24 21:53:26+00:00,negatif
gini amat hidup di konoha,2025-03-24 21:49:21+00:00,positif
😋,2025-03-24 19:12:17+00:00,positif
ya kita bikin heboh dunia jika masyarakat sudah dgn pemerintahan..,2025-03-24 18:52:11+00:00,negatif
"Taukan siapa panji, Nuril, Ernest.. 😂",2025-03-24 18:50:15+00:00,negatif
bubarkan dpr,2025-03-24 18:42:09+00:00,negatif
joko Anwar takut tuehh sama TNI,2025-03-24 18:31:29+00:00,negatif
bang bahas bg kalo kita masyarakat stop bayar pajak gmna kedepannya 😂,2025-03-24 18:17:43+00:00,negatif
😁,2025-03-24 18:14:28+00:00,positif
yok semua mode barbar,2025-03-24 18:13:09+00:00,negatif
keknya gua harus bawa SG+awm dah kemana² + tambah turet+ vest level 4🗿👍,2025-03-24 18:05:27+00:00,negatif
makin bgini indonesia🥺🥺🥺,2025-03-24 18:01:23+00:00,netral
🗿,2025-03-24 17:56:22+00:00,positif
aku setuju jika TNI kembali berkuasa lagi karena sejak jaman persiden Suharto TNI ini yang berkuasa untuk melindungi dari para gengster😏,2025-03-24 17:50:06+00:00,netral
😂😂😂,2025-03-24 17:48:04+00:00,positif
heleh bentrok aja satu indo. sebelu di sah in,2025-03-24 17:47:28+00:00,negatif
😭,2025-03-24 17:45:38+00:00,positif
#tolakruutni,2025-03-24 17:34:35+00:00,negatif
lanjut kan RUU ini,2025-03-24 17:30:17+00:00,positif
😝,2025-03-24 17:28:14+00:00,positif
haruuuuss... gO TNI go,2025-03-24 17:21:00+00:00,positif
🤣,2025-03-24 17:09:44+00:00,positif
👍,2025-03-24 17:05:14+00:00,positif
🥰,2025-03-24 16:58:27+00:00,positif
🤩,2025-03-24 16:53:14+00:00,positif
😁,2025-03-24 16:51:14+00:00,positif
👍,2025-03-24 16:50:43+00:00,positif
@._ayu__ lu liat ini biar lu paham biar GK koar koar GK jelas lu,2025-03-24 16:41:29+00:00,netral
#kaburajadulu#,2025-03-24 16:40:19+00:00,negatif
"alm papaku bener..alasan dia gak milih ""itu"" dri dulu krna papaku bilang pasti bakalan kejadian era orde baru. aku gak percaya krna aku rasa ini udah jaman modern,,dan bener.Al-Fatihah papa😭",2025-03-24 16:35:50+00:00,negatif
herannya masih banyak yg bela mereka,2025-03-24 16:31:05+00:00,negatif
Prediksi 2030?🗿,2025-03-24 16:30:59+00:00,negatif
😂,2025-03-24 14:11:41+00:00,positif
bang coba jelasin kenapa DPR. itu mau banget kalo ruu TNI di sah hin,2025-03-24 14:10:22+00:00,negatif
we from malaysia💜,2025-03-24 14:09:14+00:00,negatif
😂,2025-03-24 14:06:15+00:00,positif
"itu yg protes ketakutan sendiri, takut gk bsa nyiyir lagi.
apa lagi si paling aktris itu org kurg kerjaan",2025-03-24 14:00:49+00:00,negatif
Yang gak setuju gay.. 😜,2025-03-24 14:00:27+00:00,negatif
Saya ingin membenarkan ruu tni!! Dan tidak ada nama nya dwingfungsi itu untuk dlu waktu zaman orde baru kalo sekarang beda tentara nya sekarang harus pensiun dlu dan ngerti gak sih!!!!!,2025-03-24 13:58:36+00:00,negatif
sebenarnya foto koruptor dan keluarganya di pajang di sekolahan kampus biar maluuu seumur hidupnya,2025-03-24 13:44:35+00:00,negatif
😂,2025-03-24 13:41:23+00:00,positif
🗿,2025-03-24 13:38:30+00:00,positif
panji kayak yg tau aja,2025-03-24 13:38:23+00:00,netral
aku lebih percaya TNI daripada polisi,2025-03-24 13:38:05+00:00,negatif
RUU TNI = HAMA,2025-03-24 13:37:48+00:00,netral
🙏🏻,2025-03-24 13:37:35+00:00,positif
😂,2025-03-24 13:36:51+00:00,positif
"contoh gampang nya petrus, widji thukul dll",2025-03-24 13:36:30+00:00,positif
😭,2025-03-24 13:36:15+00:00,positif
🗿,2025-03-24 13:34:58+00:00,positif
ih serem ya,2025-03-24 13:25:16+00:00,positif
makin hari Indonesia makin kek ajg pemerintahan nya ehhh,2025-03-24 13:22:22+00:00,negatif
😁,2025-03-24 13:21:43+00:00,positif
ngeri yaa,2025-03-24 13:19:02+00:00,netral
🤣,2025-03-24 13:17:07+00:00,positif
makin g jelas ni,2025-03-24 13:16:41+00:00,negatif
😂,2025-03-24 13:16:03+00:00,positif
🥰,2025-03-24 13:12:45+00:00,positif
🥰,2025-03-24 13:12:14+00:00,positif
🥺,2025-03-24 13:06:18+00:00,positif
😝,2025-03-24 13:04:47+00:00,positif
ini apaan si suruh aja Prabowo tolak gitu aja susah amat suruh probowo,2025-03-24 13:02:19+00:00,netral
